original_name,artist_guess,title_guess,assigned_genre,confidence,new_path,reasons
Some Girls Do [pFDWY7LFpP0].webm,Unknown,some girls do,unsorted,0.0,musicup/unsorted/Some Girls Do [pFDWY7LFpP0].webm,no strong match
Some Nights [QxTBtHsh408].webm,Unknown,some nights,alternative,3,musicup/alternative/Some Nights [QxTBtHsh408].webm,kw:some nights+3->alternative
Something to Be Proud Of – Montgomery Gentry [2NHT_CiczDc].webm,something to be proud of,montgomery gentry,unsorted,0.0,musicup/unsorted/Something to Be Proud Of – Montgomery Gentry [2NHT_CiczDc].webm,no strong match
Somewhere Only We Know (Remastered 2024) [xFGE8BuOn0g].webm,Unknown,somewhere only we know (remastered 2024),unsorted,1,musicup/unsorted/Somewhere Only We Know (Remastered 2024) [xFGE8BuOn0g].webm,kw:remastered+1->rock
Streets of Bakersfield [pkHPoRR8moY].webm,Unknown,streets of bakersfield,unsorted,0.0,musicup/unsorted/Streets of Bakersfield [pkHPoRR8moY].webm,no strong match
Summertime Blues [mr3E8d0CU0U].webm,Unknown,summertime blues,unsorted,0.0,musicup/unsorted/Summertime Blues [mr3E8d0CU0U].webm,no strong match
Taio Cruz - Dynamite (Audio) [2JUNnKmZhqA].webm,taio cruz,dynamite,pop,10,musicup/pop/Taio Cruz - Dynamite (Audio) [2JUNnKmZhqA].webm,artist:taio cruz->pop
Take It Easy (2006 Remaster) [fazzYvpjhq0].webm,Unknown,take it easy (2006 remaster),unsorted,0.0,musicup/unsorted/Take It Easy (2006 Remaster) [fazzYvpjhq0].webm,no strong match
Ten Rounds with Jose Cuervo (Recall Mix) [WpNMrKrGRpU].webm,Unknown,ten rounds with jose cuervo (recall mix),unsorted,0.0,musicup/unsorted/Ten Rounds with Jose Cuervo (Recall Mix) [WpNMrKrGRpU].webm,no strong match
That Ain't No Way To Go [W7jyzjX4Jj8].webm,Unknown,that ain't no way to go,unsorted,0.0,musicup/unsorted/That Ain't No Way To Go [W7jyzjX4Jj8].webm,no strong match
That Summer [0hkWJKb3VFI].webm,Unknown,that summer,unsorted,0.0,musicup/unsorted/That Summer [0hkWJKb3VFI].webm,no strong match
That's My Job [U1hPcGaBXJI].webm,Unknown,that's my job,unsorted,0.0,musicup/unsorted/That's My Job [U1hPcGaBXJI].webm,no strong match
That's What I Love About Sunday [0dgeaVQvR0c].webm,Unknown,that's what i love about sunday,unsorted,0.0,musicup/unsorted/That's What I Love About Sunday [0dgeaVQvR0c].webm,no strong match
The Black Eyed Peas - Just Can't Get Enough [MUCo7vM-FCk].webm,the black eyed peas,just can't get enough,unsorted,0.0,musicup/unsorted/The Black Eyed Peas - Just Can't Get Enough [MUCo7vM-FCk].webm,no strong match
The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video) [FM7MFYoylVs].webm,the chainsmokers & coldplay,something just like this,electronic,2,musicup/electronic/The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video) [FM7MFYoylVs].webm,artist:coldplay->alternative | artist:the chainsmokers->electronic | kw:something just like this+2->electronic
The Chainsmokers - Closer (feat. Halsey) [Official Audio] [5XggbNWy3NA].webm,the chainsmokers,closer (feat. halsey),electronic,11,musicup/electronic/The Chainsmokers - Closer (feat. Halsey) [Official Audio] [5XggbNWy3NA].webm,artist:the chainsmokers->electronic | kw:feat.+1->hiphop | kw:closer+2->electronic
The Chainsmokers - Don't Let Me Down (Audio) ft. Daya [qMH0Xglh7GA].webm,the chainsmokers,don't let me down ft. daya,electronic,9,musicup/electronic/The Chainsmokers - Don't Let Me Down (Audio) ft. Daya [qMH0Xglh7GA].webm,artist:the chainsmokers->electronic | kw:ft.+1->hiphop
The Closer You Get [E_nCFiFXVq0].webm,Unknown,the closer you get,unsorted,2,musicup/unsorted/The Closer You Get [E_nCFiFXVq0].webm,kw:closer+2->electronic
The Fireman [b6ZnjrvRu6Y].webm,Unknown,the fireman,unsorted,0.0,musicup/unsorted/The Fireman [b6ZnjrvRu6Y].webm,no strong match
The Judds - Grandpa (Tell Me ‘Bout The Good Old Days) [Official Music Video] [cmzd_Xa_2Cc].webm,the judds,grandpa (tell me ‘bout the good old days),unsorted,0.0,musicup/unsorted/The Judds - Grandpa (Tell Me ‘Bout The Good Old Days) [Official Music Video] [cmzd_Xa_2Cc].webm,no strong match
The Judds - Mama He's Crazy (Official Music Video) [zfF0aosgOr0].webm,the judds,mama he's crazy,unsorted,0.0,musicup/unsorted/The Judds - Mama He's Crazy (Official Music Video) [zfF0aosgOr0].webm,no strong match
The Night The Lights Went Out In Georgia [5FV8sHNUTAI].webm,Unknown,the night the lights went out in georgia,unsorted,0.0,musicup/unsorted/The Night The Lights Went Out In Georgia [5FV8sHNUTAI].webm,no strong match
The Race Is On - Sawyer Brown [Audio] [OQbtbNgrJto].webm,the race is on,sawyer brown,unsorted,0.0,musicup/unsorted/The Race Is On - Sawyer Brown [Audio] [OQbtbNgrJto].webm,no strong match
The Script - Breakeven (Official Audio) [U1ZN84MqLyI].webm,the script,breakeven,unsorted,0.0,musicup/unsorted/The Script - Breakeven (Official Audio) [U1ZN84MqLyI].webm,no strong match
The Script - Hall of Fame (Official Video) ft. will.i.am [mk48xRzuNvA].webm,the script,hall of fame ft. will.i.am,unsorted,1,musicup/unsorted/The Script - Hall of Fame (Official Video) ft. will.i.am [mk48xRzuNvA].webm,kw:ft.+1->hiphop
There's A Girl In Texas [3T_nu3ax0sM].webm,Unknown,there's a girl in texas,unsorted,0.0,musicup/unsorted/There's A Girl In Texas [3T_nu3ax0sM].webm,no strong match
Tim McGraw - Not A Moment Too Soon (Official Music Video) [9QnTQ1IDmuw].webm,tim mcgraw,not a moment too soon,country,10,musicup/country/Tim McGraw - Not A Moment Too Soon (Official Music Video) [9QnTQ1IDmuw].webm,artist:tim mcgraw->country
Timbaland - Apologize ft. OneRepublic [ZSM3w1v-A_Y].webm,timbaland,apologize ft. onerepublic,unsorted,1,musicup/unsorted/Timbaland - Apologize ft. OneRepublic [ZSM3w1v-A_Y].webm,artist:onerepublic->pop | artist:timbaland->hiphop | kw:ft.+1->hiphop
Toby Keith - A Little Less Talk And A Lot More Action [XI7YzUKE_wI].webm,toby keith,a little less talk and a lot more action,unsorted,0.0,musicup/unsorted/Toby Keith - A Little Less Talk And A Lot More Action [XI7YzUKE_wI].webm,no strong match
Toby Keith - Does That Blue Moon Ever Shine On You [vaqfgSWQOT0].webm,toby keith,does that blue moon ever shine on you,unsorted,0.0,musicup/unsorted/Toby Keith - Does That Blue Moon Ever Shine On You [vaqfgSWQOT0].webm,no strong match
Toby Keith - Wish I Didn't Know Now (Official Music Video) [FeBGuLK5Pgc].webm,toby keith,wish i didn't know now,unsorted,0.0,musicup/unsorted/Toby Keith - Wish I Didn't Know Now (Official Music Video) [FeBGuLK5Pgc].webm,no strong match
Tracy Byrd - Watermelon Crawl [BFPdX2TFiIE].webm,tracy byrd,watermelon crawl,unsorted,0.0,musicup/unsorted/Tracy Byrd - Watermelon Crawl [BFPdX2TFiIE].webm,no strong match
Train - Drops of Jupiter (from Drops of Jupiter - 20th Anniversary Edition) [pXYc_9tToio].webm,train,drops of jupiter (from drops of jupiter - 20th anniversary edition),unsorted,0.0,musicup/unsorted/Train - Drops of Jupiter (from Drops of Jupiter - 20th Anniversary Edition) [pXYc_9tToio].webm,no strong match
Travis Tritt - Here's A Quarter (Call Someone Who Cares) (Official Music Video) [29ebiwO4O70].webm,travis tritt,here's a quarter (call someone who cares),unsorted,0.0,musicup/unsorted/Travis Tritt - Here's A Quarter (Call Someone Who Cares) (Official Music Video) [29ebiwO4O70].webm,no strong match
"Travis Tritt, ＂It's a Great Day to be Alive＂ [d4tSE2w53ts].webm",Unknown,"travis tritt, ""it's a great day to be alive""",unsorted,0.0,"musicup/unsorted/Travis Tritt, ＂It's a Great Day to be Alive＂ [d4tSE2w53ts].webm",no strong match
twenty one pilots - Ride (Official Video) [Pw-0pbY9JeU].webm,twenty one pilots,ride,alternative,13,musicup/alternative/twenty one pilots - Ride (Official Video) [Pw-0pbY9JeU].webm,artist:twenty one pilots->alternative | kw:ride+3->alternative
Two Dozen Roses [Hf6NzwhwUAA].webm,Unknown,two dozen roses,unsorted,0.0,musicup/unsorted/Two Dozen Roses [Hf6NzwhwUAA].webm,no strong match
Usher - DJ Got Us Fallin' In Love (Audio) ft. Pitbull [7YoLujv09cw].webm,usher,dj got us fallin' in love ft. pitbull,pop,6,musicup/pop/Usher - DJ Got Us Fallin' In Love (Audio) ft. Pitbull [7YoLujv09cw].webm,artist:pitbull->pop | kw:ft.+1->hiphop | kw:dj got us fallin' in love+3->hiphop
Vince Gill - Don't Let Our Love Start Slippin' Away [JlUGTof2TWU].webm,vince gill,don't let our love start slippin' away,unsorted,0.0,musicup/unsorted/Vince Gill - Don't Let Our Love Start Slippin' Away [JlUGTof2TWU].webm,no strong match
Vince Gill - One More Last Chance [aGfgIQfpbWI].webm,vince gill,one more last chance,unsorted,0.0,musicup/unsorted/Vince Gill - One More Last Chance [aGfgIQfpbWI].webm,no strong match
WALK THE MOON - Shut Up and Dance (Audio) [nbcCG7PkI18].webm,walk the moon,shut up and dance,alternative,10,musicup/alternative/WALK THE MOON - Shut Up and Dance (Audio) [nbcCG7PkI18].webm,artist:walk the moon->alternative
We Danced [ogLs8LvLKbA].webm,Unknown,we danced,unsorted,0.0,musicup/unsorted/We Danced [ogLs8LvLKbA].webm,no strong match
Welcome to the Black Parade [G-I9csAflBs].webm,Unknown,welcome to the black parade,rock,13,musicup/rock/Welcome to the Black Parade [G-I9csAflBs].webm,kw:black parade+5->rock | kw:welcome to the black parade+8->rock
Where The Green Grass Grows [hU0nP9dcI_w].webm,Unknown,where the green grass grows,unsorted,0.0,musicup/unsorted/Where The Green Grass Grows [hU0nP9dcI_w].webm,no strong match
Who's That Man (Radio Edit) [Jo_92V4Kt2s].webm,Unknown,who's that man (radio edit),unsorted,0.0,musicup/unsorted/Who's That Man (Radio Edit) [Jo_92V4Kt2s].webm,no strong match
Why Didn't I Think of That [UkWdGUGh8nQ].webm,Unknown,why didn't i think of that,unsorted,0.0,musicup/unsorted/Why Didn't I Think of That [UkWdGUGh8nQ].webm,no strong match
Why Not Me [QibW07lkIYk].webm,Unknown,why not me,unsorted,0.0,musicup/unsorted/Why Not Me [QibW07lkIYk].webm,no strong match
Wild Angels [M8DkD9EzXjE].webm,Unknown,wild angels,unsorted,0.0,musicup/unsorted/Wild Angels [M8DkD9EzXjE].webm,no strong match
Wild One (2007 Remaster) [Vve_ss5C-nE].webm,Unknown,wild one (2007 remaster),unsorted,0.0,musicup/unsorted/Wild One (2007 Remaster) [Vve_ss5C-nE].webm,no strong match
Wink [XLL7mVERwq0].webm,Unknown,wink,unsorted,0.0,musicup/unsorted/Wink [XLL7mVERwq0].webm,no strong match
With Or Without You [6Q2mFw4VYBo].webm,Unknown,with or without you,unsorted,2,musicup/unsorted/With Or Without You [6Q2mFw4VYBo].webm,kw:without you+2->electronic
Wrapped [9zYcQBkxeXM].webm,Unknown,wrapped,unsorted,0.0,musicup/unsorted/Wrapped [9zYcQBkxeXM].webm,no strong match
Wrapped Around - Brad Paisley [C5izVTgvAGg].webm,wrapped around,brad paisley,unsorted,0.0,musicup/unsorted/Wrapped Around - Brad Paisley [C5izVTgvAGg].webm,no strong match
Write This Down - George Strait [oFZKgW8WLp4].webm,write this down,george strait,country,10,musicup/country/Write This Down - George Strait [oFZKgW8WLp4].webm,artist:george strait->country
Wynonna - ＂No One Else On Earth＂ (Official Lyric Video) [bDzzMfvEYvU].webm,wynonna,"""no one else on earth""",unsorted,0.0,musicup/unsorted/Wynonna - ＂No One Else On Earth＂ (Official Lyric Video) [bDzzMfvEYvU].webm,no strong match
WYNONNA JUDD - Tell Me Why [HQ] [EDrPtQ_Y3GY].webm,wynonna judd,tell me why,unsorted,0.0,musicup/unsorted/WYNONNA JUDD - Tell Me Why [HQ] [EDrPtQ_Y3GY].webm,no strong match
XXX's And OOO's (An American Girl) [zqTU9Ok0j0M].webm,Unknown,xxx's and ooo's (an american girl),unsorted,0.0,musicup/unsorted/XXX's And OOO's (An American Girl) [zqTU9Ok0j0M].webm,no strong match
You Can't Take the Honky Tonk out of the Girl [SmOnrZICve0].webm,Unknown,you can't take the honky tonk out of the girl,unsorted,0.0,musicup/unsorted/You Can't Take the Honky Tonk out of the Girl [SmOnrZICve0].webm,no strong match
You Look So Good In Love [sAESfPQdq0M].webm,Unknown,you look so good in love,unsorted,0.0,musicup/unsorted/You Look So Good In Love [sAESfPQdq0M].webm,no strong match
You Never Even Called Me By My Name [LZbso7sNqv0].webm,Unknown,you never even called me by my name,unsorted,0.0,musicup/unsorted/You Never Even Called Me By My Name [LZbso7sNqv0].webm,no strong match
You Save Me - Kenny Chesney [ylw4oWrLv58].webm,you save me,kenny chesney,country,10,musicup/country/You Save Me - Kenny Chesney [ylw4oWrLv58].webm,artist:kenny chesney->country
You Shouldn't Kiss Me Like This [w7azc6yAvAU].webm,Unknown,you shouldn't kiss me like this,unsorted,0.0,musicup/unsorted/You Shouldn't Kiss Me Like This [w7azc6yAvAU].webm,no strong match
You Win My Love (Remastered 2023) [KvdDdTOVha4].webm,Unknown,you win my love (remastered 2023),unsorted,1,musicup/unsorted/You Win My Love (Remastered 2023) [KvdDdTOVha4].webm,kw:remastered+1->rock
You're Still The One (Remixed⧸Remastered 2004) [J6cNvjOn4gM].webm,Unknown,you're still the one (remixed⧸remastered 2004),electronic,3,musicup/electronic/You're Still The One (Remixed⧸Remastered 2004) [J6cNvjOn4gM].webm,kw:remastered+1->rock | kw:remix+4->electronic
Young [sXWF_-FSLuc].webm,Unknown,young,unsorted,0.0,musicup/unsorted/Young [sXWF_-FSLuc].webm,no strong match
Zac Brown Band - Homegrown (Official Audio) [8N8_CRpL6wk].webm,zac brown band,homegrown,country,10,musicup/country/Zac Brown Band - Homegrown (Official Audio) [8N8_CRpL6wk].webm,artist:zac brown band->country
Zach Top - I Never Lie (Official Audio) [P6LeMSLYhko].webm,zach top,i never lie,unsorted,0.0,musicup/unsorted/Zach Top - I Never Lie (Official Audio) [P6LeMSLYhko].webm,no strong match
Zach Top - There's The Sun (Lyrics) [kS-5Ffi33sY].webm,zach top,there's the sun,unsorted,0.0,musicup/unsorted/Zach Top - There's The Sun (Lyrics) [kS-5Ffi33sY].webm,no strong match
Zach Top - Use Me (Lyric Video) [yDBS8mJzE3Y].webm,zach top,use me,unsorted,0.0,musicup/unsorted/Zach Top - Use Me (Lyric Video) [yDBS8mJzE3Y].webm,no strong match
